Time_s,Fx,Fy,Fz,Tx,Ty,Tz
0.0003,-0.029015541076660156,0.0856161117553711,-0.6150922775268555,0.00047388672828674316,0.0006429329514503479,-0.004794251173734665
0.0003,-0.029015541076660156,0.0856161117553711,-0.6150922775268555,0.00047388672828674316,0.0006429329514503479,-0.004794251173734665
0.0046,0.13384222984313965,0.28081226348876953,-0.10140705108642578,0.011551886796951294,-0.007962077856063843,0.0014887452125549316
0.0046,-0.4919772148132324,0.7976350784301758,-0.1752948760986328,0.02700689435005188,0.01925693452358246,0.0008447468280792236
0.0047,-0.9058294296264648,-0.2693605422973633,0.0018968582153320312,-0.0087871253490448,0.031608954071998596,0.0033087432384490967
0.0049,-0.2018718719482422,-0.24647045135498047,0.20595359802246094,-0.008208125829696655,0.009369924664497375,-0.00304325670003891
0.0176,0.051441192626953125,0.25295543670654297,-0.04127216339111328,0.009920865297317505,0.0021949410438537598,-0.003392256796360016
0.0176,0.1828925609588623,-0.6907787322998047,-0.29688167572021484,-0.021922141313552856,-0.005793042480945587,-0.006116259843111038
0.0177,-0.11355733871459961,0.13353252410888672,-0.49451637268066406,0.002396881580352783,0.010887928307056427,-4.525482654571533e-05
0.0177,-0.624579906463623,-0.14068222045898438,-0.11713123321533203,-0.0009371340274810791,0.023759938776493073,-0.0021032579243183136
0.0205,0.08001852035522461,0.13388729095458984,0.2741384506225586,0.0022848844528198242,-0.00015207380056381226,0.0003857463598251343
0.0206,0.11403083801269531,-0.05773639678955078,0.0811920166015625,-0.004932135343551636,-0.002560049295425415,0.004407744854688644
0.0363,-0.0347294807434082,0.3032512664794922,-0.04239177703857422,0.005235880613327026,-0.002613060176372528,-0.0001852475106716156
0.0364,0.07795500755310059,-0.14547443389892578,0.46421146392822266,-0.012752115726470947,-0.005204051733016968,-0.001473255455493927
0.0364,0.027144432067871094,-0.4178590774536133,-0.8772287368774414,-0.012856125831604004,0.009460948407649994,-0.001690249890089035
0.0364,0.35784339904785156,0.2866830825805664,0.09480857849121094,0.011695891618728638,-0.016275063157081604,-0.0017702579498291016
0.0364,-0.5281686782836914,0.6446504592895508,-0.4298877716064453,0.021697908639907837,0.0200539231300354,-0.002312254160642624
0.0365,-0.2874412536621094,0.1741657257080078,-0.10882282257080078,0.012020885944366455,0.013023927807807922,-0.0026652589440345764
0.0379,-0.05135917663574219,-0.05883312225341797,0.02095508575439453,-0.0009811222553253174,0.0010709315538406372,-0.0036102570593357086
0.0514,-0.45098352432250977,0.38596534729003906,0.07565689086914062,0.010867893695831299,0.019951917231082916,-0.0003012530505657196
0.0514,-0.47430992126464844,-0.5009975433349609,0.19738292694091797,-0.01113012433052063,0.023758932948112488,0.0023867450654506683
0.0514,0.37454891204833984,-0.2512359619140625,-0.16506576538085938,-0.013963103294372559,-0.016702063381671906,-0.004321251064538956
0.0514,-0.1028146743774414,0.05058574676513672,-0.047949790954589844,-0.00341111421585083,0.007225930690765381,-0.0027372539043426514
